Key,schinese,tchinese
gunvector9Desc,KRISS公司的（前身为转型武器研究国防工业,TDI）生产的 Vector Gen.2 （维克托）冲锋枪\n\n使用弹药类型：[D3CE1D]9×19[-]\n修复方式：[D3CE1D]武器修理套件[-],KRISS公司的（前身為轉型武器研究國防工業,TDI）生產的 Vector Gen.2（維克托）衝鋒槍\n\n使用彈藥類型：[D3CE1D]9×19[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmpxDesc,SIG MPX 冲锋枪\n\n使用弹药类型：[D3CE1D]9×19[-]\n修复方式：[D3CE1D]武器修理套件[-],SIG MPX 衝鋒槍\n\n使用彈藥類型：[D3CE1D]9×19[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunstm9Desc,Soyuz-TM STM-9 Gen.2 卡宾枪\n\n使用弹药类型：[D3CE1D]9×19[-]\n修复方式：[D3CE1D]武器修理套件[-],Soyuz-TM STM-9 Gen.2 卡賓槍\n\n使用彈藥類型：[D3CE1D]9×19[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunsr2mvereskDesc,SR-2M「Veresk」（希瑟）冲锋枪\n\n使用弹药类型：[D3CE1D]9×21[-]\n修复方式：[D3CE1D]武器修理套件[-],SR-2M「Veresk」（希瑟）衝鋒槍\n\n使用彈藥類型：[D3CE1D]9×21[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunump45Desc,HK UMP 45 冲锋枪\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复方式：[D3CE1D]武器修理套件[-],HK UMP 45 衝鋒槍\n\n使用彈藥類型：[D3CE1D].45ACP[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunthompsonDesc,Colt公司的Thompson（汤普森）冲锋枪\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复方式：[D3CE1D]武器修理套件[-],Colt公司的Thompson（湯普森）衝鋒槍\n\n使用彈藥類型：[D3CE1D].45ACP[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunvector45Desc,KRISS公司的（前身为转型武器研究国防工业,TDI）生产的 Vector Gen.2 （维克托）冲锋枪\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复方式：[D3CE1D]武器修理套件[-],KRISS公司的（前身為轉型武器研究國防工業,TDI）生產的 Vector Gen.2（維克托）衝鋒槍\n\n使用彈藥類型：[D3CE1D].45ACP[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmp7Desc,HK MP7A1 冲锋枪\n\n使用弹药类型：[D3CE1D]4.6×30[-]\n修复方式：[D3CE1D]武器修理套件[-],HK MP7A1 衝鋒槍\n\n使用彈藥類型：[D3CE1D]4.6×30[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunp90Desc,FN P90 冲锋枪\n\n使用弹药类型：[D3CE1D]5.7×28[-]\n修复方式：[D3CE1D]武器修理套件[-],FN P90 衝鋒槍\n\n使用彈藥類型：[D3CE1D]5.7×28[-]\n修復方式：[D3CE1D]武器修理套件[-]

gunglock17,格洛克 17,克拉克 17
gunglock17Desc,Glock 17 手枪\n\n使用弹药类型：[D3CE1D]9×19[-]\n修复工具：[D3CE1D]武器修理套件[-],Glock 17 手槍\n\n使用彈藥類型：[D3CE1D]9×19[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunglock18c,[09FF00]格洛克 18C[-],[09FF00]克拉克 18C[-]
gunglock18cDesc,Glock 18C 冲锋枪\n\n使用弹药类型：[D3CE1D]9×19[-]\n修复工具：[D3CE1D]武器修理套件[-],Glock 18C 衝鋒槍\n\n使用彈藥類型：[D3CE1D]9×19[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunstechkin,斯捷奇金自动手枪,斯捷奇金自動手槍
gunstechkinDesc,斯捷奇金自动手枪\n\n使用弹药类型：[D3CE1D]9×18[-]\n修复方式：[D3CE1D]武器修理套件[-],斯捷奇金自動手槍\n\n使用彈藥類型：[D3CE1D]9×18[-]\n修復方式：[D3CE1D]武器修理套件[-]
gundeserteagle,沙漠之鹰L6型,沙漠之鷹L6型
gundeserteagleDesc,沙漠之鹰手枪\n\n使用弹药类型：[D3CE1D].50AE[-]\n修復方式：[D3CE1D]武器修理套件[-],沙漠之鷹手槍\n\n使用彈藥類型：[D3CE1D].50AE[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunrsh12,RSh-12,RSh-12
gunrsh12Desc,RSh-12 左轮手枪\n\n使用弹药类型：[D3CE1D]12.7×55[-]\n修复方式：[D3CE1D]武器修理套件[-],RSh-12 左輪手槍\n\n使用彈藥類型：[D3CE1D]12.7×55[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunfiveseven,FN Five-SeveN,FN Five-SeveN
gunfivesevenDesc,FV Five-SeveN MK2 手枪\n\n使用弹药类型：[D3CE1D]5.7×28[-]\n修复方式：[D3CE1D]武器修理套件[-],FV Five-SeveN MK2 手槍\n\n使用彈藥類型：[D3CE1D]5.7×28[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunm1911,M1911,M1911
gunm1911Desc,柯尔特 M1911A1 手枪\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复工具：[D3CE1D]武器修理套件[-],柯特 M1911A1 手槍\n\n使用彈藥類型：[D3CE1D].45ACP[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunm45,M45A1,M45A1
gunm45Desc,柯尔特 M45A1 手枪\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复工具：[D3CE1D]武器修理套件[-],柯特 M45A1 手槍\n\n使用彈藥類型：[D3CE1D].45ACP[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunusp45match,USP 45 竞技型,USP 45 競技型
gunusp45matchDesc,HK USP 45手枪搭载竞技用膛口制退器\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复工具：[D3CE1D]武器修理套件[-]\n不可以安装消音器，瞄具只能安装「Burris FastFire3」反射式瞄准镜。,HK USP 45手槍搭載競技用膛口制退器\n\n使用彈藥類型：[D3CE1D].45ACP[-]\n修覆工具：[D3CE1D]武器修理套件[-]\n不可以安裝消音器，瞄具只能安裝「Burris FastFire3」反射式瞄準鏡。
gunusp45tacDesc,HK USP 45 手枪\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复工具：[D3CE1D]武器修理套件[-],HK USP 45 手槍\n\n使用彈藥類型：[D3CE1D].45ACP[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunusp45tac,USP 45 战术型,USP 45 戰術型
gunusp45tacDesc,HK USP 45 战术型手枪\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复工具：[D3CE1D]武器修理套件[-]\n可以安装消音器，瞄具只能安装「Burris FastFire3」反射式瞄准镜。,HK USP 45 戰術型手槍\n\n使用弹药类型：[D3CE1D].45ACP[-]\n修复工具：[D3CE1D]武器修理套件[-]\n可以安裝消音器，瞄具只能安裝「Burris FastFire3」反射式瞄準鏡。
guntokarevtt,TT-33,TT-33
guntokarevttDesc,托卡列夫 TT-33 手枪\n\n使用弹药类型：[D3CE1D]7.62×25[-]\n修复方式：[D3CE1D]武器修理套件[-],托卡列夫 TT-33 手槍\n\n使用彈藥類型：[D3CE1D]7.62×25[-]\n修復方式：[D3CE1D]武器修理套件[-]
guntokarevgold,[FFD700]TT-33 黄金版[-],[FFDB1A]TT-33 黃金版[-]
guntokarevgoldDesc,托卡列夫 TT-33 手枪 [FFD700]黄金版[-]\n\n使用弹药类型：[D3CE1D]7.62×25[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n[FFDB1A]扣动一次板机可以发射两发子弹[-],托卡列夫 TT-33 手槍 [FFD700]黃金版[-]\n\n使用彈藥類型：[D3CE1D]7.62×25[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n[FFDB1A]扣動一次板機可以發射兩發子彈[-]
guntokarevmachine,TT-33 自动手枪,TT-33 自動手槍
guntokarevmachineDesc,托卡列夫 TT-33 自动手枪\n\n使用弹药类型：[D3CE1D]7.62×25[-]\n修复方式：[D3CE1D]武器修理套件[-],托卡列夫 TT-33 自動手槍\n\n使用彈藥類型：[D3CE1D]7.62×25[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunpb,PB微声手枪,PB消音手槍
gunpbDesc,PB 微声手枪\n\n使用弹药类型：[D3CE1D]9×18[-]\n修复工具：[D3CE1D]武器修理套件[-],PB 消音手槍\n\n使用彈藥類型：[D3CE1D]9×18[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunpmalphadog,马卡洛夫手枪,馬可洛夫手槍
gunpmalphadogDesc,马卡洛夫 手枪\n\n使用弹药类型：[D3CE1D]9×18[-]\n修复方式：[D3CE1D]武器修理套件[-],馬可洛夫 手槍\n\n使用彈藥類型：[D3CE1D]9×18[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunsr1mp,SR-1MP,SR-1MP
gunsr1mpDesc,Serdyukov SR-1MP Gyurza 手枪\n\n使用弹药类型：[D3CE1D]9×21[-]\n修复工具：[D3CE1D]武器修理套件[-],Serdyukov SR-1MP Gyurza 手槍\n\n使用彈藥類型：[D3CE1D]9×21[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunp226,P226R,P226R
gunp226Desc,SIG P226R 手枪\n\n使用弹药类型：[D3CE1D]9×19[-]\n修复工具：[D3CE1D]武器修理套件[-],SIG P226R 手槍\n\n使用彈藥類型：[D3CE1D]9×19[-]\n修復工具：[D3CE1D]武器修理套件[-]
gunm9a3,M9A3,M9A3
gunm9a3Desc,伯莱塔 M9A3 手枪\n\n使用弹药类型：[D3CE1D]9×19[-]\n修复工具：[D3CE1D]武器修理套件[-],貝瑞塔 M9A3 手槍\n\n使用彈藥類型：[D3CE1D]9×19[-]\n修復工具：[D3CE1D]武器修理套件[-]

gunks23,[004CFF]KS-23M[-],[004CFF]KS-23M[-]
gunks23Desc,TOZ KS-23M 泵动式霰弹枪\n\n使用弹药类型：[D3CE1D]23×75[-]\n修复方式：[D3CE1D]武器修理套件[-],TOZ KS-23M 泵動式霰彈槍\n\n使用彈藥類型：[D3CE1D]23×75[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmp43,MP-43-1C,MP-43-1C
gunmp43Desc,MP-43-1C 双管猎枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修复方式：[D3CE1D]武器修理套件[-],MP-43-1C 雙管獵槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmts255,MTs-255-12,MTs-255-12
gunmts255Desc,MTs-255-12 转轮供弹式霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-],MTs-255-12 轉輪供彈式霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunm590,M590A1,M590A1
gunm590Desc,Mossberg 590A1 泵动式霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修复方式：[D3CE1D]武器修理套件[-],Mossberg 590A1 泵動式霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunm870,[09FF00]M870[-],[09FF00]M870[-]
gunm870Desc,雷明顿 Model 870 泵动式霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-],雷明頓 Model 870 泵動式霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunksg12,[09FF00]KSG-12[-],[09FF00]KSG-12[-]
gunksg12Desc,Kel-Tec KSG 泵动式霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-],Kel-Tec KSG 泵動式霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmp153,[09FF00]MP-153[-],[09FF00]MP-153[-]
gunmp153Desc,MP-153 半自动霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修复方式：[D3CE1D]武器修理套件[-],MP-153 半自動霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunm3benelli,[004CFF]M3 Benelli[-],[004CFF]M3 Benelli[-]
gunm3benelliDesc,Benelli M3 半自动霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-],Benelli M3 半自動霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunsaiga12,[BB00FF]Saiga-12K[-],[BB00FF]Saiga-12K[-]
gunsaiga12Desc,Saiga-12K 半自动霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n需要握把来装备枪灯/激光瞄准器。,Saiga-12K 半自動霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n需要握把來裝備槍燈/雷射瞄準器。
gunAA12,[BB00FF]AA-12[-],[BB00FF]AA-12[-]
gunAA12Desc,MPS Auto Assault-12 Gen 2 全自动霰弹枪\n\n使用弹药类型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n需要握把来装备枪灯/激光瞄准器。,MPS Auto Assault-12 Gen 2 全自動霰彈槍\n\n使用彈藥類型：[D3CE1D]12/70[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n需要握把來裝備槍燈/雷射瞄準器。

gunadarDesc,ADAR 2-15 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],ADAR 2-15 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunauga3Desc,STEYR AUG A3 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],STEYR AUG A3 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gung36kv2Desc,HK G36 KV2 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],HK G36 KV2 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunm4a1Desc,Colt M4A1 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n安装枪灯/激光瞄准器前需要先安装握把,Colt M4A1 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n安裝槍燈/雷射瞄準器前需要先安裝握把
gunm16a4Desc,Colt M16A4 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n安装枪灯/激光瞄准器前需要先安装握把,Colt M16A4 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n安裝槍燈/雷射瞄準器前需要先安裝握把
gunl85a2Desc,L85A2 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n安装枪灯/激光瞄准器前需要先安装握把,L85A2 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n安裝槍燈/雷射瞄準器前需要先安裝握把
gunmdr556Desc,Desert Tech MDR 突击步枪 (5.56)\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],Desert Tech MDR 突擊步槍 (5.56)\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunhk416Desc,HK416A5 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],HK416A5 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunIWItavorx95Desc,IWI Tavor X95 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],IWI Tavor X95 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunIWIcarmelDesc,IWI Carmel 突击步枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],IWI Carmel 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunak300velociraptorDesc,Aklys Defense Velociraptor 突击步枪\n\n使用弹药类型：[D3CE1D].300 blackout[-]\n修复方式：[D3CE1D]武器修理套件[-],Aklys Defense Velociraptor 突擊步槍\n\n使用彈藥類型：[D3CE1D].300 blackout[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunstar15Desc,ST AR-15 突击步枪\n\n使用弹药类型：[D3CE1D].300 blackout[-]\n修复方式：[D3CE1D]武器修理套件[-],ST AR-15 突擊步槍\n\n使用彈藥類型：[D3CE1D].300 blackout[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunhoneybadgerDesc,AAC Honey Badger 突击步枪\n\n使用弹药类型：[D3CE1D].300 blackout[-]\n修复方式：[D3CE1D]武器修理套件[-],AAC Honey Badger 突擊步槍\n\n使用彈藥類型：[D3CE1D].300 blackout[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmcxDesc,SIG MCX 突击步枪\n\n使用弹药类型：[D3CE1D].300 blackout[-]\n修复方式：[D3CE1D]武器修理套件[-],SIG MCX 突擊步槍\n\n使用彈藥類型：[D3CE1D].300 blackout[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunm700Desc,Remington Model 700 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n狙击步枪奖励：造成 [4FBE28]50%[-] 额外伤害,Remington Model 700 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n狙擊步槍獎勵：造成 [4FBE28]50%[-] 額外傷害
gundvl10Desc,DVL-10 'Saboteur' 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n狙击步枪奖励：造成 [4FBE28]100%[-] 额外伤害,DVL-10 'Saboteur' 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n狙擊步槍獎勵：造成 [4FBE28]100%[-] 額外傷害
gunt5000Desc,Orsis T-5000 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n狙击步枪奖励：造成 [4FBE28]100%[-] 额外伤害,Orsis T-5000 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n狙擊步槍獎勵：造成 [4FBE28]100%[-] 額外傷害
gunFALsa58dmrDesc,FN FAL 精准射手步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,FN FAL 精準射手步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunm1aEBRDesc,Springfield Armory M1A 突击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,Springfield Armory M1A 突擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunrfbDesc,Kel-Tec RFB 精准射手步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,Kel-Tec RFB 精準射手步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunsr25Desc,KAC SR-25 精准射手步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,KAC SR-25 精準射手步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunrsassDesc,Remington R11 RSASS 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,Remington R11 RSASS 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunhkg28Desc,HK G28 精准射手步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,HK G28 精準射手步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunFALsa58brDesc,FN FAL 突击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-],FN FAL 突擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmdr762Desc,Desert Tech MDR 突击步枪 (7.62)\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-],Desert Tech MDR 突擊步槍 (7.62)\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunscarhDesc,FN SCAR-H 突击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-],FN SCAR-H 突擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunhk417Desc,HK 417 突击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-],HK 417 突擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunm14sassDesc,Springfield Armory M14 突击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-],Springfield Armory M14 突擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmcxspearDesc,SIG MCX Spear 突击步枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-],SIG MCX Spear 突擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmp18Desc,MP-18 单发步枪\n\n使用弹药类型：[D3CE1D]7.62×54R[-]\n修复方式：[D3CE1D]武器修理套件[-],MP-18 單發步槍\n\n使用彈藥類型：[D3CE1D]7.62×54R[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunmosinDesc,Mosin-Nagant 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×54R[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n狙击步枪奖励：造成 [4FBE28]50%[-] 额外伤害,Mosin-Nagant 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×54R[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n狙擊步槍獎勵：造成 [4FBE28]50%[-] 額外傷害
gunsv98Desc,SV-98 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×54R[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n狙击步枪奖励：造成 [4FBE28]100%[-] 额外伤害,SV-98 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×54R[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n狙擊步槍獎勵：造成 [4FBE28]100%[-] 額外傷害
gunsvtDesc,Tokarev SVT-40 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×54R[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,Tokarev SVT-40 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×54R[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunsvdDesc,SVDS Dragunov 狙击步枪\n\n使用弹药类型：[D3CE1D]7.62×54R[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n射手步枪奖励：造成 [4FBE28]25%[-] 额外伤害,SVDS Dragunov 狙擊步槍\n\n使用彈藥類型：[D3CE1D]7.62×54R[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n射手步槍獎勵：造成 [4FBE28]25%[-] 額外傷害
gunash12Desc,ASh-12 突击步枪\n\n使用弹药类型：[D3CE1D]12.7×55[-]\n修复方式：[D3CE1D]武器修理套件[-],ASh-12 突擊步槍\n\n使用彈藥類型：[D3CE1D]12.7×55[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunrpk16Desc,RPK-16 轻机枪\n\n使用弹药类型：[D3CE1D]5.45×39[-]\n修复方式：[D3CE1D]武器修理套件[-],RPK-16 輕機槍\n\n使用彈藥類型：[D3CE1D]5.45×39[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunfnminimiDesc,FN Minimi 轻机枪\n\n使用弹药类型：[D3CE1D]5.56×45[-]\n修复方式：[D3CE1D]武器修理套件[-],FN Minimi 輕機槍\n\n使用彈藥類型：[D3CE1D]5.56×45[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunrpdDesc,Degtyarev RPD 机枪\n\n使用弹药类型：[D3CE1D]7.62×39[-]\n修复方式：[D3CE1D]武器修理套件[-]\n\n安装枪灯/激光瞄准器前需要先安装B-25U握把,Degtyarev RPD 機槍\n\n使用彈藥類型：[D3CE1D]7.62×39[-]\n修復方式：[D3CE1D]武器修理套件[-]\n\n安裝槍燈/雷射瞄準器前需要先安裝B-25U握把
gunm60e6Desc,M60E6 机枪\n\n使用弹药类型：[D3CE1D]7.62×51[-]\n修复方式：[D3CE1D]武器修理套件[-],M60E6 機槍\n\n使用彈藥類型：[D3CE1D]7.62×51[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunpkpDesc,Kalashnikov PKP 通用机枪\n\n使用弹药类型：[D3CE1D]7.62×54R[-]\n修复方式：[D3CE1D]武器修理套件[-],Kalashnikov PKP 通用機槍\n\n使用彈藥類型：[D3CE1D]7.62×54R[-]\n修復方式：[D3CE1D]武器修理套件[-]
gunaks74unDesc,Kalashnikov AKS-74UN 突击步枪\n\n使用弹药类型：[D3CE1D]5.45×39[-]\n修复方式：[D3CE1D]武器修理套件[-],Kalashnikov AKS-74UN 突擊步槍\n\n使用彈藥類型：[D3CE1D]5.45×39[-]\n修復方式：[D3CE1D]武器修理套件[-]
